-- Total Memory Allocated --
Total: 19212
-- allocMBList (2397) --
address=0x2338464, size=7, name=Spike
address=0x233845b, size=9, name=Spenser
address=0x235b23a, size=8, name=Spense
address=0x235b231, size=9, name=Spencer
address=0x235a320, size=8, name=Spence
address=0x233662c, size=7, name=Sonny
address=0x235a318, size=8, name=Sonnie
address=0x23381f3, size=5, name=Son
address=0x2336911, size=10, name=Somerset
address=0x2336623, size=9, name=Solomon
address=0x2338220, size=7, name=Solly
address=0x2336ff1, size=8, name=Sollie
address=0x23382dd, size=5, name=Sol
address=0x2336fe9, size=8, name=Smitty
address=0x2336a62, size=7, name=Smith
address=0x235a757, size=5, name=Sly
address=0x2337a59, size=8, name=Sloane
address=0x23370df, size=7, name=Sloan
address=0x2336550, size=7, name=Slade
address=0x2337a51, size=8, name=Skyler
address=0x235acad, size=8, name=Skylar
address=0x2336f4a, size=6, name=Skye
address=0x235ad3a, size=5, name=Sky
address=0x2336547, size=9, name=Skipton
address=0x235aca5, size=8, name=Skippy
address=0x23370d6, size=9, name=Skippie
address=0x2336a59, size=9, name=Skipper
address=0x233811b, size=7, name=Skipp
address=0x2338611, size=6, name=Skip
address=0x2337f50, size=8, name=Skelly
address=0x23367c5, size=7, name=Skell
address=0x2337f48, size=8, name=Siward
address=0x2338607, size=10, name=Sinclare
address=0x2336f40, size=10, name=Sinclair
address=0x23367bd, size=8, name=Simone
address=0x235a732, size=7, name=Simon
address=0x235ad30, size=10, name=Simmonds
address=0x235a72a, size=8, name=Simeon
address=0x233714b, size=5, name=Sim
address=0x2338113, size=8, name=Silvio
address=0x23372c8, size=11, name=Silvester
address=0x2337141, size=10, name=Silvanus
address=0x235a859, size=9, name=Silvano
address=0x2338218, size=8, name=Silvan
address=0x233704a, size=9, name=Silvain
address=0x2337111, size=7, name=Silas
address=0x2338738, size=9, name=Sigvard
address=0x235aeca, size=9, name=Sigmund
address=0x235a510, size=12, name=Sigismundo
address=0x23367f5, size=11, name=Sigismund
address=0x2337571, size=12, name=Sigismondo
address=0x23384d4, size=11, name=Sigismond
address=0x235a74d, size=10, name=Sigfried
