-- Total Memory Allocated --
Total: 24378
-- allocMBList (2945) --
address=0x1b25473, size=8, name=Shandy
address=0x1b00317, size=9, name=Shandra
address=0x1b01242, size=9, name=Shandie
address=0x1b0042d, size=11, name=Shandeigh
address=0x1b24746, size=9, name=Shandee
address=0x1b246aa, size=8, name=Shanda
address=0x1b4711b, size=7, name=Shana
address=0x1b47017, size=8, name=Shalne
address=0x1b4751d, size=8, name=Shalna
address=0x1b2486d, size=8, name=Shaine
address=0x1b47e5a, size=8, name=Shaina
address=0x1b02689, size=6, name=Shae
address=0x1b47a6d, size=8, name=Serene
address=0x1b25712, size=8, name=Serena
address=0x1b02741, size=9, name=Sephira
address=0x1b02969, size=6, name=Sena
address=0x1b240ec, size=7, name=Selma
address=0x1b24bf7, size=7, name=Selle
address=0x1b47b82, size=7, name=Sella
address=0x1b020d8, size=8, name=Seline
address=0x1b4716d, size=9, name=Selinda
address=0x1b01914, size=8, name=Selina
address=0x1b0142a, size=7, name=Selie
address=0x1b01927, size=7, name=Selia
address=0x1b02340, size=11, name=Selestina
address=0x1b47db8, size=8, name=Selene
address=0x1b24040, size=8, name=Selena
address=0x1b007fb, size=6, name=Sela
address=0x1b026c9, size=6, name=Seka
address=0x1b47932, size=7, name=Seana
address=0x1b02058, size=6, name=Sean
address=0x1b0204e, size=10, name=Scarlett
address=0x1b240b0, size=9, name=Scarlet
