-- Total Memory Allocated --
Total: 19216
-- allocMBList (2397) --
address=0x19ba54b, size=7, name=Taite
address=0x19dc074, size=6, name=Tait
address=0x19b8d9f, size=8, name=Tailor
address=0x19b8d52, size=7, name=Tadio
address=0x19b9d22, size=7, name=Tades
address=0x19ba1d8, size=7, name=Tadeo
address=0x19b8421, size=8, name=Tadeas
address=0x19b850d, size=10, name=Taddeusz
address=0x19b8c6b, size=8, name=Taddeo
address=0x19dc1bc, size=6, name=Tadd
address=0x19b8ac6, size=5, name=Tad
address=0x19ba20c, size=7, name=Tabor
address=0x19dce3e, size=7, name=Taber
address=0x19dc6c5, size=7, name=Tabby
address=0x19ba8a3, size=8, name=Tabbie
address=0x19dd39d, size=6, name=Tabb
address=0x19dc4ab, size=5, name=Tab
address=0x19dcced, size=7, name=Symon
address=0x19dc96f, size=7, name=Syman
address=0x19b9cfb, size=11, name=Sylvester
address=0x19dc4a3, size=8, name=Sylvan
address=0x19dc1ae, size=7, name=Sylas
address=0x19dc05c, size=8, name=Sydney
address=0x19b903d, size=5, name=Syd
address=0x19b88d3, size=6, name=Swen
address=0x19dcc87, size=7, name=Svend
address=0x19b98c5, size=6, name=Sven
address=0x19ba2dc, size=8, name=Sutton
address=0x19ba65b, size=12, name=Sutherland
address=0x19b8265, size=11, name=Sutherlan
address=0x19dc8ab, size=7, name=Sunny
address=0x19dc137, size=8, name=Sumner
address=0x19dc934, size=7, name=Sully
address=0x19b8807, size=10, name=Sullivan
address=0x19b9bc9, size=8, name=Stuart
address=0x19b80d8, size=5, name=Stu
address=0x19dc527, size=10, name=Stirling
address=0x19b80ec, size=8, name=Stinky
address=0x19b8a2d, size=11, name=Stillmann
address=0x19b80ce, size=10, name=Stillman
address=0x19b87b5, size=9, name=Stewart
address=0x19b9513, size=9, name=Steward
address=0x19ba62f, size=7, name=Stevy
address=0x19b8582, size=8, name=Stevie
address=0x19dd1de, size=8, name=Steven
address=0x19dc77e, size=7, name=Steve
address=0x19b8332, size=8, name=Sterne
address=0x19dc8c2, size=7, name=Stern
address=0x19b8416, size=10, name=Sterling
address=0x19b98d4, size=9, name=Stephen
address=0x19b8600, size=11, name=Stephanus
address=0x19b9476, size=9, name=Stephan
address=0x19b8667, size=9, name=Steffen
address=0x19b865e, size=9, name=Stefano
address=0x19dd10d, size=8, name=Stefan
address=0x19dcaea, size=9, name=Stearne
address=0x19dccfb, size=8, name=Stearn
address=0x19b921c, size=9, name=Stavros
address=0x19b9816, size=8, name=Stavro
address=0x19dcbef, size=10, name=Stanwood
address=0x19ba2a4, size=9, name=Stanton
address=0x19ba64d, size=8, name=Stanly
address=0x19b9bda, size=9, name=Stanley
address=0x19dc824, size=11, name=Stanleigh
address=0x19b98ba, size=11, name=Stanislaw
address=0x19b88c7, size=12, name=Stanislaus
address=0x19b9032, size=11, name=Stanislas
address=0x19b9dc4, size=10, name=Stanford
address=0x19b8776, size=11, name=Stanfield
address=0x19dd392, size=11, name=Standford
address=0x19b9964, size=6, name=Stan
address=0x19b8250, size=9, name=Staford
address=0x19b8246, size=10, name=Stafford
address=0x19b8bda, size=10, name=Staffard
address=0x19dc31e, size=7, name=Stacy
address=0x19dc652, size=8, name=Stacee
address=0x19ba41d, size=7, name=Spike
address=0x19dccc9, size=9, name=Spenser
address=0x19dc5d0, size=8, name=Spense
address=0x19dc337, size=9, name=Spencer
address=0x19dc5c8, size=8, name=Spence
address=0x19b889e, size=7, name=Sonny
address=0x19ba0d4, size=8, name=Sonnie
address=0x19b8169, size=5, name=Son
address=0x19b93dd, size=10, name=Somerset
address=0x19b93d4, size=9, name=Solomon
address=0x19b8096, size=7, name=Solly
address=0x19b940f, size=8, name=Sollie
address=0x19b9ed9, size=5, name=Sol
address=0x19b9ed1, size=8, name=Smitty
address=0x19b953f, size=7, name=Smith
address=0x19b9a28, size=5, name=Sly
address=0x19b94cf, size=8, name=Sloane
address=0x19b8101, size=7, name=Sloan
address=0x19b8017, size=7, name=Slade
address=0x19dd382, size=8, name=Skyler
address=0x19dc808, size=8, name=Skylar
address=0x19b92ae, size=6, name=Skye
address=0x19dc6b9, size=5, name=Sky
address=0x19ba124, size=9, name=Skipton
address=0x19b9c9b, size=8, name=Skippy
address=0x19b816e, size=9, name=Skippie
address=0x19b8bed, size=9, name=Skipper
address=0x19dd42d, size=7, name=Skipp
address=0x19dcd2b, size=6, name=Skip
address=0x19b9e39, size=8, name=Skelly
address=0x19dc24c, size=7, name=Skell
address=0x19dd0d9, size=8, name=Siward
address=0x19ba84e, size=10, name=Sinclare
address=0x19dc6af, size=10, name=Sinclair
address=0x19dc7b3, size=8, name=Simone
address=0x19b8ad8, size=7, name=Simon
address=0x19b86eb, size=10, name=Simmonds
address=0x19ba4a4, size=8, name=Simeon
address=0x19b964b, size=5, name=Sim
address=0x19b9359, size=8, name=Silvio
address=0x19b9494, size=11, name=Silvester
address=0x19b961a, size=10, name=Silvanus
address=0x19ba60f, size=9, name=Silvano
address=0x19dc838, size=8, name=Silvan
address=0x19dd40e, size=9, name=Silvain
address=0x19b910b, size=7, name=Silas
address=0x19dca8e, size=9, name=Sigvard
address=0x19b835c, size=9, name=Sigmund
address=0x19b8350, size=12, name=Sigismundo
address=0x19b897a, size=11, name=Sigismund
address=0x19b963f, size=12, name=Sigismondo
address=0x19b9a1d, size=11, name=Sigismond
address=0x19b9198, size=10, name=Sigfried
address=0x19dc9db, size=9, name=Sigfrid
address=0x19dcf71, size=5, name=Sig
address=0x19b9d97, size=8, name=Siffre
address=0x19dcf66, size=11, name=Siegfried
address=0x19b93f5, size=8, name=Sidney
address=0x19b90ed, size=8, name=Sidnee
address=0x19b97a1, size=5, name=Sid
address=0x19ba784, size=7, name=Sibyl
address=0x19b9cc7, size=4, name=Si
address=0x19ba268, size=10, name=Shurwood
address=0x19b9cbc, size=11, name=Shurlocke
address=0x19b9797, size=10, name=Shurlock
address=0x19ba3f3, size=8, name=Sholom
address=0x19dd3ef, size=10, name=Sherwynd
address=0x19dcb06, size=10, name=Sherwood
address=0x19b9f23, size=9, name=Sherwin
address=0x19dcefd, size=8, name=Shermy
address=0x19dc5f6, size=9, name=Shermie
address=0x19b998d, size=9, name=Sherman
address=0x19b8b46, size=7, name=Sherm
address=0x19b9849, size=11, name=Sherlocke
address=0x19b983f, size=10, name=Sherlock
address=0x19b83cf, size=10, name=Sheridan
address=0x19ba51d, size=10, name=Shepperd
address=0x19ba6aa, size=10, name=Sheppard
address=0x19ba6a0, size=10, name=Shepherd
address=0x19b8717, size=9, name=Shepard
address=0x19dcb27, size=6, name=Shep
address=0x19b9904, size=6, name=Shem
address=0x19b8cd4, size=9, name=Shelton
address=0x19b934b, size=9, name=Shelley
address=0x19dc92d, size=7, name=Shell
address=0x19dc924, size=9, name=Shelden
address=0x19dc91c, size=8, name=Shelby
address=0x19dc914, size=8, name=Sheffy
address=0x19b815e, size=11, name=Sheffield
address=0x19b8c08, size=9, name=Sheffie
address=0x19dc7e1, size=7, name=Sheff
address=0x19b917d, size=6, name=Shea
address=0x19b8f47, size=8, name=Shayne
address=0x19dc817, size=6, name=Shay
address=0x19b96d4, size=7, name=Shawn
address=0x19b85f0, size=6, name=Shaw
address=0x19b8d1d, size=7, name=Shaun
address=0x19b8d14, size=9, name=Shaughn
address=0x19b8d0b, size=9, name=Shannon
address=0x19ba18e, size=9, name=Shannan
address=0x19b9149, size=7, name=Shane
address=0x19ba16a, size=8, name=Shanan
address=0x19ba162, size=8, name=Shamus
address=0x19ba15a, size=8, name=Shalom
address=0x19b817e, size=8, name=Shaine
address=0x19dd014, size=6, name=Shae
address=0x19b9ad0, size=8, name=Shadow
address=0x19dc47c, size=9, name=Seymour
address=0x19b9ac8, size=8, name=Seward
address=0x19b9662, size=8, name=Seumas
address=0x19b9a6e, size=6, name=Seth
address=0x19b8968, size=8, name=Sergio
address=0x19b9a65, size=9, name=Sergent
address=0x19b8aa3, size=8, name=Sergei
address=0x19b9a7d, size=10, name=Sergeant
address=0x19ba451, size=7, name=Serge
address=0x19b80ae, size=7, name=Selig
address=0x19b9b81, size=7, name=Selby
address=0x19b81f8, size=5, name=See
address=0x19b81ed, size=11, name=Sebastien
address=0x19dd008, size=12, name=Sebastiano
address=0x19b8062, size=11, name=Sebastian
address=0x19dcfc4, size=6, name=Sean
address=0x19b9924, size=8, name=Seamus
address=0x19b8abe, size=8, name=Scotty
address=0x19b8ab5, size=9, name=Scottie
address=0x19b96c5, size=8, name=Scotti
address=0x19dc4ee, size=7, name=Scott
address=0x19dcfbe, size=6, name=Scot
address=0x19dcfb4, size=10, name=Schuyler
address=0x19b9a39, size=10, name=Scarface
address=0x19ba5be, size=8, name=Sayres
address=0x19ba56c, size=7, name=Sayre
address=0x19dcfd9, size=8, name=Sayers
