-- Total Memory Allocated --
Total: 24085
-- allocMBList (2945) --
address=0x237ea63, size=9, name=Susette
address=0x237ea5a, size=9, name=Susanne
address=0x237ea50, size=10, name=Susannah
address=0x237ea47, size=9, name=Susanna
address=0x237ea3f, size=8, name=Susann
address=0x237ea34, size=11, name=Susanetta
address=0x237ea2c, size=8, name=Susana
address=0x237ea25, size=7, name=Susan
address=0x237ea1b, size=10, name=Sunshine
address=0x237e7c9, size=7, name=Sunny
address=0x235b570, size=6, name=Sula
address=0x237e226, size=6, name=Suki
address=0x2337477, size=7, name=Sukey
address=0x237ea12, size=9, name=Suellen
address=0x235b94e, size=5, name=Sue
address=0x237ea0a, size=8, name=Stormy
address=0x233746e, size=9, name=Stormie
address=0x2337466, size=8, name=Stormi
address=0x23392e5, size=7, name=Storm
address=0x233745c, size=10, name=Stoddard
address=0x23392dc, size=9, name=Stevena
address=0x23392d3, size=9, name=Stevana
address=0x23392cb, size=8, name=Stesha
address=0x233863d, size=10, name=Stephine
address=0x2338634, size=9, name=Stephie
address=0x233862c, size=8, name=Stephi
address=0x237e21b, size=11, name=Stephenie
address=0x237e20f, size=12, name=Stephannie
address=0x235b565, size=11, name=Stephanie
address=0x235b55b, size=10, name=Stephani
address=0x23382dd, size=10, name=Stephana
address=0x23382d5, size=8, name=Stepha
address=0x237e7c1, size=8, name=Stella
address=0x237e7b8, size=9, name=Steffie
address=0x2337f78, size=8, name=Steffi
address=0x2337f6e, size=10, name=Steffane
address=0x235bbd5, size=10, name=Stefanie
address=0x235bbcb, size=10, name=Stefania
address=0x2337bd4, size=7, name=Stefa
address=0x2337bcd, size=7, name=Starr
address=0x2337bc4, size=9, name=Starlin
address=0x235b944, size=10, name=Starlene
address=0x235b93c, size=8, name=Starla
address=0x23389ab, size=6, name=Star
address=0x23389a2, size=9, name=Stafani
address=0x233874b, size=7, name=Stacy
address=0x233899a, size=8, name=Stacie
address=0x2338743, size=8, name=Stacia
address=0x2338fbf, size=7, name=Staci
address=0x233873b, size=8, name=Stacey
address=0x2338fb7, size=8, name=Stacee
address=0x2338fb0, size=7, name=Stace
address=0x235c406, size=9, name=Sosanna
address=0x235c3fe, size=8, name=Sorcha
address=0x237e01e, size=11, name=Sophronia
address=0x237e016, size=8, name=Sophie
address=0x235b51a, size=8, name=Sophia
address=0x235ba83, size=7, name=Sophi
address=0x235b512, size=8, name=Sophey
address=0x235ba7c, size=7, name=Sonya
address=0x235ba75, size=7, name=Sonny
address=0x235b230, size=9, name=Sonnnie
address=0x235b228, size=8, name=Sonnie
address=0x2339043, size=7, name=Sonni
address=0x233903c, size=7, name=Sonja
address=0x2339035, size=7, name=Sonia
address=0x235c567, size=8, name=Sondra
address=0x235c560, size=7, name=Sofie
address=0x237e167, size=7, name=Sofia
address=0x23391f2, size=8, name=Siusan
address=0x233994a, size=7, name=Sissy
address=0x23391ea, size=8, name=Sissie
address=0x23373bd, size=8, name=Sisile
address=0x23373b5, size=8, name=Sisely
address=0x2339719, size=9, name=Siouxie
address=0x237e2e4, size=7, name=Sioux
address=0x2339710, size=9, name=Siobhan
address=0x237e90a, size=8, name=Sindee
address=0x237e901, size=9, name=Simonne
address=0x237e927, size=11, name=Simonette
address=0x237e91f, size=8, name=Simone
address=0x2339a1b, size=8, name=Simona
address=0x2339a13, size=8, name=Silvie
address=0x235c5e3, size=8, name=Silvia
address=0x235c5da, size=9, name=Silvana
address=0x237e969, size=7, name=Silva
address=0x23386e8, size=8, name=Sileas
address=0x2338509, size=6, name=Sile
address=0x235b24e, size=8, name=Sigrid
address=0x235b244, size=10, name=Sidonnie
address=0x23386df, size=9, name=Sidonia
address=0x237e3f0, size=9, name=Sidoney
address=0x237e3e7, size=9, name=Sibylle
address=0x2337c9a, size=9, name=Sibylla
address=0x23378a6, size=7, name=Sibyl
address=0x2337c92, size=8, name=Sibley
address=0x2337e2a, size=9, name=Sibilla
address=0x2337e21, size=9, name=Sibelle
address=0x235c4ea, size=9, name=Sibella
address=0x23383f5, size=7, name=Sibel
address=0x237e727, size=8, name=Sibeal
address=0x23389cd, size=7, name=Sibby
address=0x235bdfe, size=8, name=Sibbie
address=0x2339b1c, size=5, name=Sib
address=0x23374fe, size=8, name=Sianna
address=0x2337a2e, size=7, name=Siana
address=0x2337a23, size=11, name=Shoshanna
address=0x23374f4, size=10, name=Shoshana
address=0x235bdf4, size=10, name=Shirline
address=0x235c4e1, size=9, name=Shirley
address=0x23389c3, size=10, name=Shirlene
address=0x23383eb, size=10, name=Shirleen
address=0x237e71e, size=9, name=Shirlee
address=0x2337827, size=7, name=Shirl
address=0x235b3a9, size=6, name=Shir
address=0x235c876, size=7, name=Shina
address=0x235b5f0, size=8, name=Sheryl
address=0x235b5e8, size=8, name=Sherye
address=0x235b7e8, size=8, name=Sherry
address=0x235c86d, size=9, name=Sherrie
address=0x235b7e0, size=8, name=Sherri
address=0x235b39f, size=10, name=Sherline
address=0x23384ff, size=10, name=Sherilyn
address=0x233781e, size=9, name=Sherill
address=0x2337cca, size=8, name=Sherie
address=0x233752f, size=7, name=Sheri
address=0x2337cc2, size=8, name=Sheree
address=0x237e0fc, size=6, name=Sher
address=0x237e557, size=7, name=Shena
address=0x235b483, size=8, name=Shelly
address=0x237e54e, size=9, name=Shellie
address=0x235b47b, size=8, name=Shelli
address=0x2337526, size=9, name=Shelley
address=0x2339052, size=7, name=Shell
address=0x233904a, size=8, name=Shelia
address=0x233789e, size=8, name=Shelby
address=0x237e961, size=8, name=Shelbi
address=0x237e2dc, size=8, name=Shelba
address=0x237e0f3, size=9, name=Shelagh
address=0x2337b0f, size=7, name=Shela
address=0x235be9f, size=6, name=Shel
address=0x235be96, size=9, name=Sheilah
address=0x2337bed, size=16, name=Sheila-Kathryn
address=0x2337b07, size=8, name=Sheila
address=0x2337f48, size=9, name=Sheeree
address=0x2339942, size=8, name=Sheena
address=0x233734d, size=9, name=Sheelah
address=0x2339b12, size=10, name=Sheelagh
address=0x23379a8, size=8, name=Sheela
address=0x237e160, size=7, name=Sheba
address=0x2338bab, size=6, name=Shea
address=0x2338ba3, size=8, name=Shayne
address=0x2338b20, size=8, name=Shayna
address=0x235c16b, size=10, name=Shaylynn
address=0x23398ef, size=9, name=Shaylyn
address=0x235c515, size=9, name=Shaylah
address=0x2338c6b, size=8, name=Shayla
address=0x235b8a6, size=6, name=Shay
address=0x2337c7d, size=9, name=Shawnee
address=0x235b89e, size=8, name=Shawna
address=0x23373eb, size=7, name=Shawn
address=0x233908f, size=8, name=Shauna
address=0x23373e4, size=7, name=Shaun
address=0x237e350, size=8, name=Sharyl
address=0x2337a4b, size=9, name=Sharron
address=0x2339696, size=9, name=Sharona
address=0x2339342, size=8, name=Sharon
address=0x23383ff, size=10, name=Sharline
address=0x235b3df, size=10, name=Sharlene
address=0x23395ed, size=10, name=Sharleen
address=0x233964c, size=8, name=Sharla
address=0x23388ed, size=7, name=Sharl
address=0x233871f, size=9, name=Sharity
address=0x233856c, size=8, name=Sharia
address=0x237e7a2, size=7, name=Shari
address=0x235b1f1, size=8, name=Sharai
address=0x2338c8f, size=7, name=Shara
address=0x23377dd, size=9, name=Shantee
address=0x23377ef, size=8, name=Shanta
address=0x2338e9f, size=8, name=Shanon
address=0x2337d0e, size=9, name=Shannon
address=0x233884e, size=9, name=Shannen
address=0x233894d, size=9, name=Shannah
address=0x2337976, size=8, name=Shanna
address=0x2337d6d, size=8, name=Shanie
address=0x233768d, size=7, name=Shani
address=0x235bd1b, size=7, name=Shane
address=0x2338d45, size=8, name=Shandy
address=0x2338dd1, size=9, name=Shandra
address=0x237e264, size=9, name=Shandie
address=0x235b285, size=11, name=Shandeigh
address=0x237e0a3, size=9, name=Shandee
address=0x237e8ac, size=8, name=Shanda
address=0x2339765, size=7, name=Shana
address=0x23386fa, size=8, name=Shalne
address=0x2337a84, size=8, name=Shalna
address=0x235bb43, size=8, name=Shaine
address=0x23388d7, size=8, name=Shaina
address=0x235b5bb, size=6, name=Shae
address=0x2339133, size=8, name=Serene
address=0x235b4e9, size=8, name=Serena
address=0x235b7aa, size=9, name=Sephira
address=0x235b928, size=6, name=Sena
address=0x235c065, size=7, name=Selma
address=0x237e714, size=7, name=Selle
address=0x2337f01, size=7, name=Sella
address=0x233703e, size=8, name=Seline
address=0x2338149, size=9, name=Selinda
address=0x235ba25, size=8, name=Selina
address=0x233718b, size=7, name=Selie
address=0x2338692, size=7, name=Selia
address=0x235b029, size=11, name=Selestina
address=0x235c098, size=8, name=Selene
address=0x2338c13, size=8, name=Selena
address=0x233866d, size=6, name=Sela
address=0x237e29a, size=6, name=Seka
address=0x2338d19, size=7, name=Seana
address=0x233739b, size=6, name=Sean
address=0x233838f, size=10, name=Scarlett
address=0x2338e2c, size=9, name=Scarlet
address=0x2338181, size=7, name=Sayre
address=0x233729a, size=8, name=Savina
address=0x233796d, size=9, name=Saundra
address=0x235c12f, size=8, name=Saudra
address=0x237e085, size=10, name=Sashenka
address=0x23390b2, size=7, name=Sasha
address=0x23375f1, size=8, name=Sascha
address=0x23392fb, size=8, name=Sarita
address=0x2338d58, size=8, name=Sarine
address=0x2339c2b, size=8, name=Sarina
address=0x235b8ef, size=6, name=Sari
address=0x235b820, size=9, name=Sarette
address=0x235c2a0, size=8, name=Sarene
address=0x235bb5a, size=8, name=Sarena
address=0x235bcca, size=7, name=Saree
address=0x237e627, size=10, name=Sarajane
address=0x2338b0a, size=7, name=Sarah
address=0x23378b5, size=9, name=Saraann
address=0x2339907, size=10, name=Sara-Ann
address=0x235bc3b, size=6, name=Sara
address=0x2339002, size=10, name=Sapphire
address=0x2337f95, size=10, name=Sapphira
address=0x2338515, size=8, name=Sandye
address=0x23395d4, size=7, name=Sandy
address=0x237e4b9, size=8, name=Sandra
address=0x23394b0, size=8, name=Sandie
address=0x2337b84, size=7, name=Sandi
